"Aviation; monthly figures of Dutch airports"
"";"Subjects";"Aircraft movements";"Aircraft movements";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic"
"";"Subjects";"Cross-country flights";"Local flights";"Flights";"Flights";"Flights";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Cargo"
"";"Subjects";"Cross-country flights";"Local flights";"All flights";"Arrivals";"Departures";"Total passengers";"Passenger arrivals";"Passenger departures";"Country of origin/destination";"Country of origin/destination";"Country of origin/destination";"Country of origin/destination";"Country of origin/destination";"Total cargo"
"";"Subjects";"Cross-country flights";"Local flights";"Total flights";"Total arrivals flights";"Total departures flights";"Total passengers";"Total arrivals passengers";"Total departures passengers";"Europe";"Intercontinental";"Intercontinental";"Intercontinental";"Intercontinental";"Total cargo"
"";"Subjects";"Cross-country flights";"Local flights";"Total flights";"Total arrivals flights";"Total departures flights";"Total passengers";"Total arrivals passengers";"Total departures passengers";"Europe total";"Total intercontinental passengers";"Africa";"America";"Asia";"Total cargo"
"";"Subjects";"Cross-country flights";"Local flights";"Total flights";"Total arrivals flights";"Total departures flights";"Total passengers";"Total arrivals passengers";"Total departures passengers";"Europe total";"Total intercontinental passengers";"Africa";"America";"Asia";"Total cargo"
"Airports";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"ton"
"Amsterdam Airport Schiphol";"1997";"361910";"10748";"349476";"174726";"174750";"31021002";"15496157";"15524845";"20282682";"10738320";"1223391";"6038044";"3379017";"1161234"
"Amsterdam Airport Schiphol";"1998";"388218";"8944";"376810";"188402";"188408";"33946104";"16899139";"17046965";"22496275";"11449829";"1293242";"6367845";"3680895";"1171252"
"Amsterdam Airport Schiphol";"1999";"405764";"8450";"393605";"196841";"196764";"36425113";"18186152";"18238961";"24134366";"12290747";"1472105";"6730288";"3992786";"1180717"
"Amsterdam Airport Schiphol";"2000";"428689";"3770";"414927";"207439";"207488";"39270610";"19580140";"19690470";"26198081";"13072529";"1615441";"7038549";"4325228";"1222594"
"Amsterdam Airport Schiphol";"2001";"428482";"3574";"416456";"208224";"208232";"39309441";"19629040";"19680401";"26642961";"12666480";"1678236";"6619644";"4347136";"1183208"
"Amsterdam Airport Schiphol";"2002";"413544";"3567";"401385";"200693";"200692";"40587562";"20241604";"20345958";"27921311";"12666251";"1798750";"6582234";"4285267";"1239900"
"Amsterdam Airport Schiphol";"2003";"404376";"3904";"392996";"196512";"196484";"39808649";"19849930";"19958719";"27577850";"12230799";"1763246";"6539175";"3928378";"1306155"
"Amsterdam Airport Schiphol";"2004";"414898";"3714";"402738";"201370";"201368";"42425392";"21139285";"21286107";"28834061";"13591331";"2001393";"7030113";"4559825";"1421115"
"Amsterdam Airport Schiphol";"2005";"417264";"3469";"404594";"202295";"202299";"44077539";"21927211";"22150328";"29746468";"14331071";"2235537";"7346593";"4748941";"1449855"
"Amsterdam Airport Schiphol";"2006";"436266";"3889";"423122";"211574";"211548";"45988966";"22907010";"23081956";"31287261";"14701705";"2392783";"7294817";"5014105";"1526552"
"Amsterdam Airport Schiphol";"2007";"449871";"4483";"435972";"217987";"217985";"47744748";"23849815";"23894933";"32516890";"15227858";"2497898";"7610841";"5119119";"1610282"
"Amsterdam Airport Schiphol";"2008";"441865";"4824";"428332";"214137";"214195";"47391711";"23703666";"23688045";"31725300";"15666411";"2555635";"7922798";"5187978";"1567712"
